component,horizon_years,beta_point,beta_se_nw,t_nw,p_nw_1sided,beta_stambaugh,rho_X,beta_bootstrap_median,beta_bootstrap_ci_95_low,beta_bootstrap_ci_95_high,r2_insample,r2_oos_gw,cw_stat,cw_pval,cy_ci_95_low,cy_ci_95_high,n_obs_insample,oos_split_date
z1_netfed,1,-0.053757806771909056,0.04074067777524602,-1.3195118419107947,0.09451782182752098,-0.0590930028831083,0.9847558500065675,-0.054240368817273586,-0.12875971983855197,0.040517540868628,0.09212612539553233,0.053858128460253285,2.36682362821601,0.00897074027656597,,,150,2013-01-01
z1_netfed,3,-0.010779085416809045,0.008311753385436932,-1.2968485609420437,0.09854563413011726,-0.01015953814398837,0.9829068986424133,-0.010634641966100868,-0.032588170463055795,0.012585934521826277,0.03981753497091245,0.012280671808429955,3.0674426588446146,0.0010794943916445643,,,126,2013-01-01
z1_netfed,5,-0.012426768048558181,0.009172507482390388,-1.3547841822332012,0.08926959573796255,-0.014270848735289453,0.9941530314520014,-0.012485178578318445,-0.03687769619503241,0.005830941858685377,0.08006869780987658,-0.021634027372796183,2.6522942487393366,0.003997341827478795,,,102,2013-01-01
z1_netfed,10,-0.023016303177172,0.0036897375900769957,-6.237924138310255,1.0939452665981468e-07,-0.02169193400989354,0.9671739900402212,-0.02320241506114635,-0.035608948787724706,-0.004448283655309198,0.45408626637616856,0.46380724366881043,3.2651229238381054,0.0005470829062393934,,,42,2013-01-01
z2_m2_yoy,1,-0.012188216653960457,0.012512705898479913,-0.9740672203796562,0.16518920637370824,-0.012746861747515936,0.982617682151307,-0.012898111305384468,-0.04015195503582243,0.007990317823216764,0.01120330876801745,-0.1358364910351071,-1.640172936407904,0.9495153926349207,,,665,2013-01-01
z2_m2_yoy,3,-0.01696567642305117,0.0089504731621608,-1.8955060939990978,0.029238188115744426,-0.017023781252340657,0.9850569136738087,-0.016873008932449515,-0.03675737597412833,-0.00199251786055192,0.0696199584561108,-0.4678019549167409,3.0146913051370845,0.0012862046294943585,,,641,2013-01-01
z2_m2_yoy,5,-0.007529919995618619,0.008932300972233588,-0.8429989113696095,0.19977839359265853,-0.007586431955255984,0.9830203672220789,-0.007483113611217274,-0.027077607894400623,0.00681987406564978,0.022810901829308228,-1.010174836459293,-3.515075585676033,0.9997801855791357,,,617,2013-01-01
z2_m2_yoy,10,-0.0027078539830310976,0.004627501335690916,-0.5851654676241811,0.27933714602679294,-0.0026511454615539003,0.9822104444721876,-0.0024259559230399496,-0.013322020839364707,0.008385060816377006,0.004453587869552633,0.011032407836333857,1.606206668488389,0.05411425432904904,,,557,2013-01-01
z3_banklend_yoy,1,-0.011465712119649741,0.02136543935470598,-0.5366476171773312,0.2958305919885296,-0.01095117686650391,0.9756570200303726,-0.01082694264960619,-0.05858438013428027,0.03572673130159215,0.002135197311169734,-0.026309336973274533,-1.4556917381449817,0.9272610725881333,,,797,2013-01-01
z3_banklend_yoy,3,-0.014518460290365834,0.015418830679414809,-0.9416057930870834,0.17334471576018737,-0.014571256858386682,0.9751466855863669,-0.012985994406870548,-0.04403487957444541,0.014343893647074397,0.011394175187096733,-0.13408018759651763,-2.307342194498082,0.9894821244912282,,,773,2013-01-01
z3_banklend_yoy,5,-0.024216388366453352,0.013890966966695242,-1.7433191241843835,0.04084465534426277,-0.02424569459200745,0.9801280731903923,-0.023914154980692087,-0.04812774452710894,0.0007959600129122337,0.051866233733721345,0.04621410946906601,2.9062420038462475,0.0018289920811372928,,,749,2013-01-01
z3_banklend_yoy,10,-0.006550457147844557,0.012346492361058831,-0.530552075543729,0.297950332226658,-0.006502867831536011,0.9777804815329354,-0.006279922576874959,-0.024672824753342468,0.01335840450765407,0.007240895882665854,0.017459044755049113,1.2181901030391358,0.11157586986883594,,,689,2013-01-01
z4_dxy_inv,1,-0.014734366155178832,0.02079688494596818,-0.7084890931242726,0.23947624160197895,-0.014918662635096766,0.9875204108472391,-0.014381598444093957,-0.06006961662168613,0.041609116502737825,0.00968931065560763,0.037874050032670414,3.317068348115771,0.00045483679994706705,,,533,2013-01-01
z4_dxy_inv,3,-0.008503582970001415,0.016167565653147233,-0.5259655753026788,0.2995710528096595,-0.008469258354049826,0.9872727937192675,-0.008265381557451627,-0.03252245954150353,0.03200342151650202,0.01009580111646513,0.13567157783015316,5.356501012974572,4.2424512347594145e-08,,,509,2013-01-01
z4_dxy_inv,5,-0.008049686008458892,0.01326257609693528,-0.60694739465578,0.2720855099741382,-0.007998085703234644,0.9863916832242412,-0.007988188166715208,-0.02735546413865915,0.0221757188170442,0.015171821698038435,0.1731484666972145,6.579762949894043,2.3559931783267984e-11,,,485,2013-01-01
z4_dxy_inv,10,0.0005502229442048263,0.009774903637484364,0.05628934714965945,0.4775689415760148,0.0005378657411285729,0.9865017554309267,0.00019395372701636708,-0.011496191507303626,0.030342190883840665,0.000161921766097195,-0.0033172118027653408,-0.4386781974004055,0.6695526364270503,,,425,2013-01-01
z5_funding_stress,1,-0.04631522039985229,0.03821927494039171,-1.2118288604921816,0.11319651929459755,-0.04648650133781707,0.8184802544516079,-0.042651726461106695,-0.1042990614527601,0.07675952695798004,0.05379370232325276,0.010839812294218154,0.9442733192004205,0.17251499825244876,,,353,2013-01-01
z5_funding_stress,3,-0.03173232898574939,0.012327272137145021,-2.5741566043741573,0.005244112419109969,-0.031811961289323246,0.8134726321381276,-0.031146500944953193,-0.07995471251706833,-0.005791857999645881,0.08236089192387275,0.14372243144256758,4.656775613121791,1.606000948894959e-06,,,329,2013-01-01
z5_funding_stress,5,-0.011277770581602044,0.009142268511066382,-1.2335855775785534,0.10915670997746879,-0.011281274003199487,0.807360735510831,-0.01150206515743126,-0.04857687841277569,0.006003569561825604,0.023012126376234843,0.045425926112076076,3.1716640711439177,0.0007578411146296204,,,305,2013-01-01
z5_funding_stress,10,-0.003824786865045787,0.006716108185850586,-0.5694945285580421,0.2847733212524327,-0.003845283399079697,0.8264362133158677,-0.003967101613292886,-0.04206074696883223,0.006820550803249515,0.006107137814338803,0.031725186892443524,10.532982630599248,0.0,,,245,2013-01-01
